familie,indikator,art,ziel,h,n,mu,mu0,sd0,t,t_klassisch,t1,t2,lo,erste,letzte,f_t,f_kosten,f_n,f_stabil,alle,vor,placebo_p,t_bestaetigung_etf,t_ohne_bestes,ereignisse
S,paar_zins_us_jp_d20,hoch,lqd,5,59,1.2323175303003784,-0.06263325371619442,2.465933714255257,3.9620229782698186,4.033646829534527,2.064535515610363,3.4256121551420735,0,2002-10-24,2020-12-09,False,True,True,True,False,True,0.00019998000199980003,,3.5565589102088193,2002-10-24;2002-11-08;2003-07-24;2003-08-07;2004-05-04;2006-12-27;2007-01-16;2007-01-30;2007-04-10;2007-05-23;2007-06-11;2007-12-28;2008-02-22;2008-04-18;2008-06-16;2008-08-07;2008-10-13;2008-11-04;2009-01-26;2009-02-10;2009-05-05;2009-05-20;2009-06-10;2010-12-09;2010-12-27;2011-10-26;2012-03-16;2012-03-30;2012-08-23;2012-12-20;2013-02-01;2013-06-05;2013-06-20;2013-07-05;2013-08-21;2014-11-19;2015-02-19;2015-03-05;2015-05-04;2015-05-20;2015-06-25;2015-11-10;2016-03-15;2016-10-10;2016-10-31;2016-11-14;2016-11-29;2016-12-13;2018-01-12;2018-02-01;2018-02-15;2018-10-09;2019-09-16;2019-11-07;2020-06-09;2020-09-01;2020-10-26;2020-11-11;2020-12-09
S,paar_kurz_us_uk_d20,hoch,gld,20,47,3.6993241795173413,0.18126608215140022,6.45912572981163,3.688842395275161,3.734033395319638,2.60716778215298,2.46993138526172,0,2005-02-02,2020-06-17,False,True,True,True,False,True,0.00019998000199980003,,3.21666865112812,2005-02-02;2005-04-01;2005-05-17;2005-07-22;2005-08-19;2005-09-26;2006-04-03;2007-07-30;2007-09-12;2007-10-30;2007-12-04;2008-01-31;2008-09-19;2008-11-11;2010-05-04;2010-07-30;2010-11-01;2011-02-02;2011-05-31;2011-08-01;2011-11-01;2011-12-28;2012-02-02;2012-03-19;2012-05-03;2012-09-17;2014-01-03;2014-02-20;2014-04-02;2014-07-02;2014-10-28;2014-12-03;2015-01-02;2015-03-31;2015-06-03;2015-09-01;2015-10-02;2015-12-18;2016-08-09;2016-12-20;2017-03-20;2017-06-19;2017-12-20;2018-03-26;2018-10-01;2020-02-03;2020-06-17
S,neu_kalender_ereignisse_opex_verfall_stand,hoch,ewj,5,77,0.7214875023185409,0.000996454557723957,1.732420008067237,3.6493940592324488,3.6493940592324488,2.3240147584410327,3.1214876920479506,0,2001-09-24,2020-12-21,False,True,True,True,False,True,0.00019998000199980003,,3.2172071356655385,2001-09-24;2001-12-24;2002-03-18;2002-06-24;2002-09-23;2002-12-23;2003-03-24;2003-06-23;2003-09-22;2003-12-22;2004-03-22;2004-06-21;2004-09-20;2004-12-20;2005-03-21;2005-06-20;2005-09-19;2005-12-19;2006-03-20;2006-06-19;2006-09-18;2006-12-18;2007-03-19;2007-06-18;2007-09-24;2007-12-24;2008-06-23;2008-09-22;2008-12-22;2009-03-23;2009-06-22;2009-09-21;2009-12-21;2010-03-22;2010-06-21;2010-09-20;2010-12-20;2011-03-21;2011-06-20;2011-09-19;2011-12-19;2012-03-19;2012-06-18;2012-09-24;2012-12-24;2013-03-18;2013-06-24;2013-09-23;2013-12-23;2014-03-24;2014-06-23;2014-09-22;2014-12-22;2015-03-23;2015-06-22;2015-09-21;2015-12-21;2016-03-21;2016-06-20;2016-09-19;2016-12-19;2017-03-20;2017-06-19;2017-09-18;2017-12-18;2018-03-19;2018-06-18;2018-09-24;2018-12-24;2019-03-18;2019-06-24;2019-09-23;2019-12-23;2020-03-23;2020-06-22;2020-09-21;2020-12-21
S,neu_fred_implied_vol_oel_d20,sprung_auf,xlb,5,37,1.2093134143536057,0.031041510860990267,1.5543621895530586,3.6354715850279486,4.610989789406086,3.2887477309510635,1.692707896843289,1601,2008-01-24,2020-05-22,False,True,True,True,False,True,9.999000099990002e-05,,3.5056835589835744,2008-01-24;2008-03-19;2008-06-10;2008-07-10;2008-09-18;2008-10-08;2008-10-24;2008-12-02;2008-12-30;2009-03-23;2009-04-20;2009-05-19;2011-02-24;2011-05-09;2011-08-08;2011-08-22;2011-09-13;2011-11-29;2011-12-29;2013-04-17;2014-06-16;2014-10-14;2014-11-17;2014-12-10;2015-01-06;2015-03-12;2015-07-08;2016-02-16;2017-01-03;2018-04-12;2018-11-13;2018-12-18;2019-09-18;2020-03-10;2020-03-24;2020-04-22;2020-05-22
S,neu_treasury_tga_tga_d5,sprung_auf,xle,5,46,1.6773750894127673,-0.07437923667259501,2.3948664332980902,3.5714085948307424,4.961018169400063,2.229022779060338,2.839621114250798,1185,2006-08-18,2020-12-02,False,True,True,True,False,True,9.999000099990002e-05,,3.380724541646175,2006-08-18;2006-10-04;2007-04-27;2007-05-14;2007-12-19;2008-10-02;2008-10-17;2008-11-06;2008-12-17;2009-03-04;2009-03-18;2009-05-04;2009-10-02;2010-09-17;2011-06-17;2011-12-19;2012-06-19;2012-11-12;2013-07-02;2013-12-18;2014-04-17;2014-06-18;2014-12-17;2015-10-12;2015-11-09;2015-12-17;2016-06-17;2016-07-13;2016-12-19;2017-03-20;2017-04-20;2017-12-19;2018-04-19;2018-06-12;2018-09-19;2018-12-19;2019-03-12;2019-06-19;2019-12-18;2020-04-02;2020-04-24;2020-06-01;2020-07-17;2020-09-17;2020-10-02;2020-12-02
S,paar_zins_us_jp_d20,hoch,tip,5,55,1.147865024647499,-0.07238874655882316,2.546754730356139,3.553402321796257,3.553402321796257,2.260088120638913,2.860990082024703,0,2004-05-04,2020-12-09,False,True,True,True,False,True,0.00029997000299970003,,3.1244168183184144,2004-05-04;2006-12-27;2007-01-16;2007-01-30;2007-04-10;2007-05-23;2007-06-11;2007-12-28;2008-02-22;2008-04-18;2008-06-16;2008-08-07;2008-10-13;2008-11-04;2009-01-26;2009-02-10;2009-05-05;2009-05-20;2009-06-10;2010-12-09;2010-12-27;2011-10-26;2012-03-16;2012-03-30;2012-08-23;2012-12-20;2013-02-01;2013-06-05;2013-06-20;2013-07-05;2013-08-21;2014-11-19;2015-02-19;2015-03-05;2015-05-04;2015-05-20;2015-06-25;2015-11-10;2016-03-15;2016-10-10;2016-10-31;2016-11-14;2016-11-29;2016-12-13;2018-01-12;2018-02-01;2018-02-15;2018-10-09;2019-09-16;2019-11-07;2020-06-09;2020-09-01;2020-10-26;2020-11-11;2020-12-09
S,neu_fred_brent_brent_stand,tief,xlv,5,55,1.1010596238635535,0.026601675268441205,1.7202760330869942,3.5362127414177063,4.632043497414708,1.837994456887813,3.170970437788546,0,2001-10-04,2020-04-30,False,True,True,True,False,True,9.999000099990002e-05,,3.3485545006611708,2001-10-04;2001-10-18;2001-11-01;2001-11-15;2001-12-06;2001-12-20;2002-01-31;2007-01-11;2007-02-01;2007-02-22;2008-10-16;2008-10-30;2008-11-13;2008-11-28;2008-12-18;2009-01-08;2009-01-29;2009-02-26;2012-06-07;2012-06-21;2012-07-12;2013-04-25;2014-07-17;2014-07-31;2014-08-14;2014-08-28;2014-09-18;2014-10-02;2014-10-16;2014-10-30;2014-11-13;2014-11-28;2014-12-18;2015-01-08;2015-01-29;2015-08-13;2015-08-27;2015-09-17;2015-10-08;2015-11-05;2015-11-19;2015-12-10;2015-12-24;2016-01-14;2016-02-04;2018-11-29;2018-12-20;2019-01-10;2019-08-15;2020-02-06;2020-02-27;2020-03-12;2020-03-26;2020-04-09;2020-04-30
S,VIXCLS_d20,hoch,ibb,20,50,2.9645387709896687,0.2343141347671495,5.295465572916774,3.528856044233717,3.645685781263902,2.0454238949592534,2.568082961199824,0,2001-09-17,2020-03-04,False,True,True,True,False,True,0.00019998000199980003,,2.93626871398681,2001-09-17;2002-07-12;2002-09-23;2004-03-12;2004-05-12;2004-08-10;2005-04-19;2005-08-18;2005-10-12;2006-01-24;2006-05-19;2007-03-01;2007-06-28;2007-07-30;2007-11-09;2008-01-24;2008-09-17;2008-10-15;2010-01-26;2010-04-29;2010-05-27;2011-03-18;2011-06-20;2011-08-01;2011-08-29;2013-01-02;2013-02-27;2013-04-17;2013-06-06;2013-09-04;2013-10-10;2014-01-28;2014-07-21;2014-10-03;2014-12-12;2015-07-13;2015-08-25;2016-06-28;2016-11-04;2017-04-18;2017-08-14;2017-11-17;2018-01-22;2018-02-20;2018-03-27;2018-10-12;2018-12-27;2019-08-07;2020-02-04;2020-03-04
