familie,indikator,art,ziel,h,n,mu,mu0,sd0,t,t_klassisch,t1,t2,lo,hi,f_t,f_kosten,f_n,f_stabil,alle,vor,placebo_p,t_bestaetigung_etf,t_ohne_bestes,n_verdacht,t_ohne_verdacht,mu_netto,ereignisse
S,DCOILWTICO_d1,tief,xlv,5,155,0.6068529675799468,0.03626687102000312,1.747284106019079,4.065589327865171,4.065589327865171,2.6912074063587377,3.1380836056860884,0,4868,False,True,True,True,False,True,9.999000099990002e-05,,3.8111128990231378,1,3.8357632178250376,0.0068529675799468,2001-08-31;2001-09-28;2001-11-26;2002-04-19;2002-05-31;2002-07-26;2002-09-06;2002-10-25;2003-01-03;2003-01-31;2003-03-07;2003-03-28;2003-04-11;2003-05-02;2003-07-07;2003-08-01;2003-09-05;2003-10-31;2003-12-01;2004-04-02;2004-06-14;2004-07-02;2004-08-27;2004-11-05;2004-12-10;2004-12-31;2005-04-01;2005-04-15;2005-05-06;2005-07-22;2005-08-26;2005-09-30;2005-10-14;2005-11-04;2005-11-18;2005-12-23;2006-02-10;2006-03-03;2006-03-24;2006-04-28;2006-05-12;2006-08-18;2006-10-06;2006-11-03;2006-11-27;2007-01-12;2007-04-13;2007-06-15;2007-08-10;2007-08-24;2007-10-12;2007-11-02;2007-11-16;2007-12-07;2008-01-11;2008-02-08;2008-02-29;2008-05-02;2008-05-30;2008-06-13;2008-06-27;2008-07-18;2008-08-15;2008-08-29;2008-09-19;2008-10-03;2008-10-17;2008-11-14;2008-12-01;2009-01-16;2010-02-12;2010-05-07;2010-05-21;2010-06-11;2010-09-03;2010-10-22;2010-11-19;2011-03-18;2011-04-25;2011-05-13;2011-06-24;2011-08-12;2011-08-26;2011-09-30;2011-11-28;2011-12-23;2012-05-11;2012-06-08;2012-06-29;2012-07-27;2012-09-28;2012-10-12;2012-11-16;2013-06-28;2013-08-23;2013-09-13;2013-11-15;2014-01-10;2014-03-14;2014-04-25;2014-07-18;2014-08-08;2014-08-22;2014-10-03;2014-10-24;2014-11-21;2014-12-12;2014-12-29;2015-01-16;2015-02-13;2015-03-06;2015-04-17;2015-07-10;2015-09-04;2016-04-01;2016-07-01;2016-07-22;2016-11-04;2016-12-23;2017-01-13;2017-03-17;2017-04-28;2017-05-12;2017-06-02;2017-06-16;2017-09-15;2017-10-13;2017-12-15;2018-02-09;2018-03-09;2018-04-06;2018-05-11;2018-06-01;2018-06-22;2018-07-20;2018-08-03;2018-08-17;2018-09-21;2018-10-12;2018-10-26;2018-11-16;2018-12-21;2019-05-31;2019-07-08;2019-08-09;2019-09-20;2019-12-06;2020-01-17;2020-02-28;2020-03-13;2020-03-27;2020-04-13;2020-05-01;2020-06-19;2020-09-11
S,paar_zins_us_jp_d20,hoch,lqd,5,59,1.2323183804163755,-0.053811229229650696,2.491723298185855,3.9350373887449086,3.964705466908399,2.036313613117422,3.419718167266479,0,4868,False,True,True,True,False,True,0.0014998500149985001,,3.4927869313770272,0,3.9350373887449086,0.6323183804163756,2002-10-24;2002-11-08;2003-07-24;2003-08-07;2004-05-04;2006-12-27;2007-01-16;2007-01-30;2007-04-10;2007-05-23;2007-06-11;2007-12-28;2008-02-22;2008-04-18;2008-06-16;2008-08-07;2008-10-13;2008-11-04;2009-01-26;2009-02-10;2009-05-05;2009-05-20;2009-06-10;2010-12-09;2010-12-27;2011-10-26;2012-03-16;2012-03-30;2012-08-23;2012-12-20;2013-02-01;2013-06-05;2013-06-20;2013-07-05;2013-08-21;2014-11-19;2015-02-19;2015-03-05;2015-05-04;2015-05-20;2015-06-25;2015-11-10;2016-03-15;2016-10-10;2016-10-31;2016-11-14;2016-11-29;2016-12-13;2018-01-12;2018-02-01;2018-02-15;2018-10-09;2019-09-16;2019-11-07;2020-06-09;2020-09-01;2020-10-26;2020-11-11;2020-12-09
S,paar_kurz_us_uk_d20,hoch,gld,20,48,3.6401382114978085,0.1780830526767506,6.460122016939245,3.7007618456516775,3.7129053711125315,2.5212850240908278,2.469936080683959,0,4868,False,True,True,True,False,True,0.0007999200079992001,,3.2004410864070367,1,3.692181908222854,3.0401382114978084,2005-02-02;2005-04-01;2005-05-17;2005-07-22;2005-08-19;2005-09-26;2006-04-03;2007-07-30;2007-09-12;2007-10-30;2007-12-04;2008-01-31;2008-04-21;2008-09-19;2008-11-11;2010-05-04;2010-07-30;2010-11-01;2011-02-02;2011-05-31;2011-08-01;2011-11-01;2011-12-28;2012-02-02;2012-03-19;2012-05-03;2012-09-17;2014-01-03;2014-02-20;2014-04-02;2014-07-02;2014-10-28;2014-12-03;2015-01-02;2015-03-31;2015-06-03;2015-09-01;2015-10-02;2015-12-18;2016-08-09;2016-12-20;2017-03-20;2017-06-19;2017-12-20;2018-03-26;2018-10-01;2020-02-03;2020-06-17
S,DEXSZUS_d5,hoch,xle,5,92,1.0214027628891293,-0.017919285368900303,2.4490257149171435,3.6780594776046636,4.070527648239444,3.4258423302489263,1.6516934876716833,0,4868,False,True,True,True,False,True,9.999000099990002e-05,,3.53872944079167,0,3.6780594776046636,0.42140276288912937,2001-09-06;2001-10-25;2001-12-27;2002-01-30;2002-07-31;2002-11-29;2003-03-18;2003-04-09;2003-08-20;2003-11-04;2004-01-21;2004-03-04;2004-03-31;2004-04-27;2004-07-27;2004-08-30;2005-01-06;2005-02-09;2005-03-28;2005-07-07;2005-09-14;2005-11-08;2005-12-23;2006-06-14;2006-07-20;2006-10-12;2007-01-11;2007-06-14;2007-08-15;2007-12-04;2007-12-18;2008-02-11;2008-04-09;2008-04-28;2008-06-17;2008-07-25;2008-08-12;2008-09-10;2008-10-02;2008-10-24;2008-11-17;2009-01-15;2009-03-19;2009-04-30;2009-12-17;2010-01-28;2010-05-13;2010-05-27;2010-10-28;2010-11-26;2011-01-13;2011-05-19;2011-08-25;2011-09-15;2011-09-29;2011-11-17;2012-07-19;2013-01-24;2013-05-02;2013-05-16;2013-07-05;2013-09-12;2013-11-07;2014-01-16;2014-09-11;2014-10-09;2014-11-13;2014-12-18;2015-01-15;2015-02-05;2015-03-12;2015-04-16;2015-06-04;2015-09-10;2015-11-05;2016-07-07;2016-11-25;2017-04-13;2017-08-03;2017-11-02;2017-12-14;2018-05-03;2018-10-04;2019-01-24;2019-05-02;2019-07-11;2019-09-05;2020-02-13;2020-03-19;2020-04-02;2020-09-17;2020-10-01
S,neu_fred_implied_vol_oel_d20,sprung_auf,xlb,5,37,1.2092882397751707,0.04481026107693476,1.5996884874673574,3.5929169927843576,4.427888974432328,3.229420999439146,1.6927490503477316,1601,4868,False,True,True,True,False,True,9.999000099990002e-05,,3.458309064186213,0,3.5929169927843576,0.6092882397751708,2008-01-24;2008-03-19;2008-06-10;2008-07-10;2008-09-18;2008-10-08;2008-10-24;2008-12-02;2008-12-30;2009-03-23;2009-04-20;2009-05-19;2011-02-24;2011-05-09;2011-08-08;2011-08-22;2011-09-13;2011-11-29;2011-12-29;2013-04-17;2014-06-16;2014-10-14;2014-11-17;2014-12-10;2015-01-06;2015-03-12;2015-07-08;2016-02-16;2017-01-03;2018-04-12;2018-11-13;2018-12-18;2019-09-18;2020-03-10;2020-03-24;2020-04-22;2020-05-22
S,neu_treasury_tga_tga_d5,sprung_auf,xle,5,46,1.6774282718752447,-0.06317763810957998,2.4205704323656976,3.5486470308471367,4.87709983326425,2.1938228360863,2.8396309191641067,1185,4868,False,True,True,True,False,True,9.999000099990002e-05,,3.3565048666664343,0,3.5486470308471367,1.0774282718752448,2006-08-18;2006-10-04;2007-04-27;2007-05-14;2007-12-19;2008-10-02;2008-10-17;2008-11-06;2008-12-17;2009-03-04;2009-03-18;2009-05-04;2009-10-02;2010-09-17;2011-06-17;2011-12-19;2012-06-19;2012-11-12;2013-07-02;2013-12-18;2014-04-17;2014-06-18;2014-12-17;2015-10-12;2015-11-09;2015-12-17;2016-06-17;2016-07-13;2016-12-19;2017-03-20;2017-04-20;2017-12-19;2018-04-19;2018-06-12;2018-09-19;2018-12-19;2019-03-12;2019-06-19;2019-12-18;2020-04-02;2020-04-24;2020-06-01;2020-07-17;2020-09-17;2020-10-02;2020-12-02
S,neu_kalender_ereignisse_opex_verfall_stand,hoch,ewj,5,77,0.7214818836699871,0.010273242796302644,1.760747023737621,3.5444220047150377,3.5444220047150377,2.232396124676306,3.121475690894697,0,4868,False,True,True,True,False,True,0.0011998800119988001,,3.119488918504627,0,3.5444220047150377,0.12148188366998713,2001-09-24;2001-12-24;2002-03-18;2002-06-24;2002-09-23;2002-12-23;2003-03-24;2003-06-23;2003-09-22;2003-12-22;2004-03-22;2004-06-21;2004-09-20;2004-12-20;2005-03-21;2005-06-20;2005-09-19;2005-12-19;2006-03-20;2006-06-19;2006-09-18;2006-12-18;2007-03-19;2007-06-18;2007-09-24;2007-12-24;2008-06-23;2008-09-22;2008-12-22;2009-03-23;2009-06-22;2009-09-21;2009-12-21;2010-03-22;2010-06-21;2010-09-20;2010-12-20;2011-03-21;2011-06-20;2011-09-19;2011-12-19;2012-03-19;2012-06-18;2012-09-24;2012-12-24;2013-03-18;2013-06-24;2013-09-23;2013-12-23;2014-03-24;2014-06-23;2014-09-22;2014-12-22;2015-03-23;2015-06-22;2015-09-21;2015-12-21;2016-03-21;2016-06-20;2016-09-19;2016-12-19;2017-03-20;2017-06-19;2017-09-18;2017-12-18;2018-03-19;2018-06-18;2018-09-24;2018-12-24;2019-03-18;2019-06-24;2019-09-23;2019-12-23;2020-03-23;2020-06-22;2020-09-21;2020-12-21
S,VIXCLS_d20,hoch,ibb,20,50,2.964497114345898,0.24195971764668045,5.299809070059565,3.5189288021647487,3.6324415272159034,2.0546835153631875,2.5680534721453556,0,4868,False,True,True,True,False,True,9.999000099990002e-05,,2.9237078270752472,0,3.5189288021647487,2.3644971143458977,2001-09-17;2002-07-12;2002-09-23;2004-03-12;2004-05-12;2004-08-10;2005-04-19;2005-08-18;2005-10-12;2006-01-24;2006-05-19;2007-03-01;2007-06-28;2007-07-30;2007-11-09;2008-01-24;2008-09-17;2008-10-15;2010-01-26;2010-04-29;2010-05-27;2011-03-18;2011-06-20;2011-08-01;2011-08-29;2013-01-02;2013-02-27;2013-04-17;2013-06-06;2013-09-04;2013-10-10;2014-01-28;2014-07-21;2014-10-03;2014-12-12;2015-07-13;2015-08-25;2016-06-28;2016-11-04;2017-04-18;2017-08-14;2017-11-17;2018-01-22;2018-02-20;2018-03-27;2018-10-12;2018-12-27;2019-08-07;2020-02-04;2020-03-04
